Qualification,Internship,Comm_Skill,Tech_Skill_Level,Certifications,Interview_Score,Resume_Score,Referral,Job_Result
BCA,No,5,4,1,10,9,Yes,Not Selected
B.Tech,No,10,4,1,7,1,Yes,Selected
BBA,No,4,2,3,2,4,Yes,Selected
MCA,Yes,4,4,2,10,6,No,Selected
MCA,No,4,2,3,8,7,No,Not Selected
BA(HR),No,10,0,1,4,10,Yes,Not Selected
BBA,Yes,8,0,0,3,7,No,Selected
MCA,No,6,5,1,10,10,No,Selected
BA(HR),Yes,3,0,3,8,2,No,Not Selected
B.Tech,Yes,10,5,2,2,4,No,Not Selected
BA(HR),Yes,5,1,5,3,5,No,Selected
MCA,No,6,1,5,3,1,No,Not Selected
BCA,No,5,3,2,10,1,Yes,Not Selected
BCA,Yes,6,5,5,1,10,No,Not Selected
BCA,No,8,3,5,6,3,No,Not Selected
MCA,No,7,3,3,2,10,Yes,Not Selected
BCA,Yes,5,1,2,1,3,Yes,Not Selected
BBA,Yes,10,5,4,2,8,Yes,Not Selected
B.Tech,No,6,1,0,6,9,Yes,Selected
BA(HR),Yes,4,3,0,4,1,No,Selected
BA(HR),No,9,5,5,6,2,No,Not Selected
MCA,No,4,3,0,9,10,No,Not Selected
BCA,No,1,4,2,10,2,No,Not Selected
BCA,No,7,5,2,10,4,Yes,Selected
MBA,Yes,7,5,1,8,2,No,Selected
B.Tech,Yes,4,3,1,1,7,No,Not Selected
BBA,Yes,3,4,0,8,9,Yes,Selected
BA(HR),Yes,8,2,4,9,7,No,Not Selected
MBA,No,5,1,1,6,6,No,Not Selected
MBA,No,10,3,1,10,10,No,Not Selected
MCA,Yes,7,5,2,5,1,No,Not Selected
BA(HR),No,4,1,4,6,10,Yes,Not Selected
MCA,No,4,1,5,6,9,Yes,Not Selected
BBA,No,8,1,0,9,5,Yes,Not Selected
MBA,Yes,8,2,1,4,5,Yes,Selected
MBA,Yes,2,0,4,2,6,Yes,Not Selected
B.Tech,Yes,2,3,4,9,9,No,Selected
BBA,No,3,0,0,2,8,No,Not Selected
MBA,Yes,3,0,4,10,8,Yes,Not Selected
BBA,Yes,1,0,4,9,8,Yes,Selected
BA(HR),Yes,3,1,4,2,1,Yes,Selected
BCA,Yes,6,4,1,8,1,No,Not Selected
MBA,Yes,8,1,0,9,8,Yes,Selected
B.Tech,Yes,10,1,4,10,5,No,Not Selected
BA(HR),No,6,5,4,9,9,No,Not Selected
BBA,No,5,5,1,10,2,No,Selected
MCA,Yes,4,0,0,9,9,No,Selected
BA(HR),Yes,3,1,2,2,8,Yes,Selected
MBA,No,4,0,1,4,9,No,Selected
BBA,No,7,5,0,7,4,No,Not Selected
BCA,Yes,1,4,4,2,1,Yes,Selected
BA(HR),Yes,7,3,0,1,1,No,Selected
MBA,Yes,1,0,0,3,5,No,Selected
B.Tech,Yes,2,4,5,4,2,No,Selected
MCA,No,4,3,0,8,8,Yes,Selected
BBA,Yes,1,2,2,6,10,No,Not Selected
BA(HR),Yes,9,0,0,2,5,No,Not Selected
BA(HR),Yes,6,0,2,9,5,Yes,Selected
BCA,Yes,1,2,4,2,2,Yes,Selected
BCA,No,1,2,2,5,7,No,Not Selected
B.Tech,No,6,0,4,4,8,No,Selected
MCA,No,4,2,4,7,10,Yes,Not Selected
B.Tech,Yes,4,1,2,8,1,No,Not Selected
MBA,Yes,6,3,1,5,2,Yes,Selected
MBA,No,7,3,3,10,10,No,Not Selected
B.Tech,Yes,9,3,0,5,4,Yes,Selected
